Manager ID,Manager Name
133,BANYAN CAPITAL ADVISORS PRIVATE LIMITED
134,BANYAN CAPITAL ADVISORS PRIVATE LIMITED
135,BANYAN TREE ADVISORS PRIVATE LIMITED
136,BANYAN TREE ADVISORS PRIVATE LIMITED
137,Barclays Bank Plc
138,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED
139,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED
140,BASAN EQUITY BROKING LIMITED
141,BASANT MAHESHWARI WEALTH ADVISERS LLP
142,Basant Maheshwari Wealth Advisers LLP
143,BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED
144,BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED
145,Bay Capital Investment Managers Private Limited
146,BCB Capital Advisors Private Limited
147,BELLWETHER CAPITAL PRIVATE LIMITED
148,BELLWETHER CAPITAL PRIVATE LIMITED
149,BENCHMARK ASSET MANAGEMENT COMPANY PVT LTD
150,Betala Global Securities Ltd
151,BHANA EQUITY ADVISORS LLP
152,Bharat Forge Ltd.
153,Bharti AXA Investment Managers Private Ltd.
154,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED
155,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED
156,Blue Blends Finance Ltd.
157,BMA WEALTH CREATORS LTD
158,BNP PARIBAS (BANQUE NATIONALE DE PARIS-INDIA)
159,BNP PARIBAS ASSET MANAGEMENT INDIA PRIVATE LIMITED
160,BNP Paribas Asset Management India Private Limited
161,BNP PARIBAS INVESTMENT SERVICES INDIA PVT LTD
162,BOB Capital Markets Ltd.
163,BOI AXA Investment Managers Private Limited
164,BONANZA PORTFOLIO LIMITED
165,BONANZA PORTFOLIO LIMITED
166,Brahma Capital Advisory Services Pvt Ltd
167,BRAIN POINT Investment Centre Pvt Ltd
168,Brescon Financial Services Limited
169,BRICS SECURITIES LIMITED
170,BULLERO CAPITAL PRIVATE LIMITED
171,BULLERO CAPITAL PRIVATE LIMITED
172,Bulls & Bears Financial Ltd
173,BUOYANT CAPITAL PRIVATE LIMITED
174,Buoyant Capital Private Limited
175,Burman Capital Management Private Limited
176,CALIBRE FINANCIAL SERVICES LTD
177,Calsita Futuristic Ser Ltd
178,CAMEO WEALTH MANAGEMENT SERVICES LTD
179,CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED
180,CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED
181,Capgrow Capital Advisors LLP
182,CAPSTOCKS AND SECURITIES (INDIA) PRIVATE
183,CAPSTOCKS AND SECURITIES (INDIA) PRIVATE
184,CARE PORTFOLIO MANAGERS PRIVATE LIMITED
185,Care Portfolio Managers Private Limited
186,CARE PORTFOLIO MANAGERS PVT. LTD
187,Carnelian Asset Advisors Private Limited
188,Catalytic Solution and Management Services Private Limited
189,CD CAPITAL MARKETS LTD
190,CD Research (P) Ltd
191,Ceat Financial Services Ltd.
192,CENTRAL FINANCE LTD
193,Centrum Alternatives LLP
194,CENTRUM BROKING LIMITED
195,Centrum Broking Limited
196,CENTRUM BROKING PRIVATE LTD
197,Chanakya Capital Services Private Limited
198,CHIRAG SHARE AND STOCKBROKING PVT LTD
199,Choice Portfolio Management Services Private Limited.
200,CHOLAMANDALAM SECURITIES LIMITED
201,CHONA FINANCIAL SERVICES PRIVATE LTD.
202,CHONA FINANCIAL SERVICES PRIVATE LTD.
203,CIFCO LTD
204,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LTD
205,Clarity Financial Services Ltd
206,CLUBMILLIONAIRE FINANCIAL SERVICES PRIVATE LIMITED
207,Clubmillionaire Financial Services Private Limited
208,Coast Redwood Advisors Private Limited
209,COMPOSITE INVESTMENTS PRIVATE LIMITED
210,COMPOUND EVERYDAY CAPITAL MANAGEMENT LLP
211,CONCEPT INVESTWELL PRIVATE LIMITED
212,CONCEPT SECURITIES PRIVATE LIMITED
213,CONSORTIUM SECURITIES PVT. LTD.
214,Consortium Securities Pvt. Ltd.
215,Continental Exim & Fin Ser Ltd
216,CONVEXITY SOLUTIONS AND ADVISORS PRIVATE LIMITED
217,Corestrat Heramb LLP
218,Corporation Bank
219,COUNTER CYCLICAL INVESTMENTS PRIVATE LIMITED
220,CRB Capital Markets Ltd.
221,Credent Asset Management Services Private Limited
222,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")"
223,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")"
224,CRESCITA INVESTMENT MANAGEMENT PRIVATE LIMITED
225,Crescita Investment Management Private Limited
226,CREST WEALTH MANAGEMENT PRIVATE LIMITED
227,Crest Wealth Management Private Limited
228,DAIWA ASSET MANAGEMENT (INDIA) PRIVATE LIMITED
229,DAIWA PORTFOLIO ADVISORY (INDIA) PRIVATE LIMITED
230,DAIWA PORTFOLIO ADVISORY (INDIA) PRIVATE LIMITED
231,DALAL & BROACHA STOCK BROKING PVT. LTD.
232,Dalal & Broacha Stock Broking Pvt. Ltd.
233,Dalmia Securities pvt ltd
234,DARASHAW & COMPANY LTD
235,DARASHAW & COMPANY LTD
236,DAWNAY DAY AV FINANCIAL SERVICES PVT. LTD
237,DBS Cholamandalam Asset Management Ltd.
238,Decimal Wealth Partners Pvt Ltd
239,Derivium Tradition Securities (India) Pvt. Ltd.
240,Destimoney India Services Private Limited
241,Deutche Asset Management India Private Limited
242,DEUTSCHE BANK AG
243,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED
244,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED
245,DGS CAPITAL MANAGEMENT PRIVATE LIMITED
246,DGS CAPITAL MANAGEMENT PRIVATE LIMITED
247,DHANADA PORTFOLIO MANAGEMENT LTD
248,DHFL PRAMERICA ASSET MANAGERS PRIVATE LIMITED
249,Dil Vikas Finance Ltd.
250,DMZ Partners Investment Management LLP
251,DOHA BROKERAGE AND FINANCIAL SERVICES LTD
252,DOHA BROKERAGE AND FINANCIAL SERVICES LTD
253,Doogar & Associates Ltd.
254,DSJ Finance Corp. Ltd.
255,DSP BlackRock Investment Managers Private Limited
256,DSP Merrill Lynch Limited
257,DSP MERRILL LYNCH LTD
258,Dugar Finance India Ltd.
259,DUNDEE INVESTMENT MANAGEMENT & RESEARCH
260,DUTT CAPITAL ADVISORS PRIVATE LIMITED
261,DYNAMIC EQUITIES PRIVATE LIMITED
262,Dynamic Equities Private Limited
263,East India Securities Ltd
264,East Lane Capital LLP
265,EDELWEISS ASSET MANAGEMENT LIMITED
266,Edelweiss Asset Management Limited
267,EDELWEISS ASSET MANAGEMENT LIMITED
268,EDELWEISS GLOBAL WEALTH MANAGEMENT LIMITED
269,EDHA WEALTH LLP
270,EFG WEALTH MANAGEMENT (INDIA) PRIVATE LIMITED
271,EKLAVYA CAPITAL ADVISORS LLP
272,Eklavya Capital Advisors LLP
273,ELITE WEALTH ADVISORS LIMITED
274,Elite Wealth Advisors Limited
275,ELIXIR EQUITIES PVT. LTD.
276,ELIXIR EQUITIES PVT. LTD.
277,ELYSIUM INVESTMENT ADVISORS LLP
278,Elysium Investment Advisors LLP
279,EMKAY INVESTMENT MANAGERS LIMITED
280,Emkay Investment Managers Limited
281,Emkay Investment Managers Limited
282,ENAM ASSET MANAGEMENT CO.PVT.LTD
283,ENAM ASSET MANAGEMENT CO.PVT.LTD
284,ENAM SECURITIES DIRECT PRIVATE LIMITED
285,Entrust Family Office Investment Advisors Private Limited
286,ENVISION CAPITAL ADVISORS PVT. LTD.
287,ENVISION CAPITAL SERVICES PVT.LTD.
288,ENVISION CAPITAL SERVICES PVT.LTD.
289,Equinomics Research & Advisory Private Limited
290,EQUIRUS SECURITIES PRIVATE LIMITED
291,Equirus Securities Private Limited
292,Equirus Securities Private Limited
293,EQUIRUS WEALTH PRIVATE LIMITED
294,Equitree Capital Advisors Private Limited
295,EQUITY INTELLIGENCE INDIA PVT. LTD.
296,EQUITY INTELLIGENCE INDIA PVT. LTD.
297,ESCORP ASSET MANAGEMENT LIMITED
298,Escorp Asset Management Limited
299,Escorts Financial Services Ltd.
300,ESCORTS SECURITIES LIMITED
301,ESL SECURITIES LIMITED
302,Essel Finance Portfolio Managers Private Limited
303,ESTEE ADVISORS PVT LTD.
304,Estee Advisors Pvt Ltd.
305,EUREKA PORTFOLIO MANAGEMENT SERVICES PVT LTD
